X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,body_Motion,pace_code,pace_value,incline_code,incline_pct,activity_details,bout_rest,epoch,actual_n_analyzed,trend,CC_type,CC,CC_bins,CC_all,CC_CI_pct,CC_CI_upper,CC_CI_lower,CC_pvalue,CC_significance,ES_type,ES,ES_CI_upper,ES_CI_lower,BA_LoA_upper,BA_LoA_lower,BA_LoA_width,devicemean,devicemean_SD,critmean,critmean_SD,device_v_crit,meandiff,meandiff_SD,meandiff_CI_upper,meandiff_CI_lower,MPE,MPE_bin,MPE_SD,MPE_significance_test,MPE_significance_num,MAD,MAD_SD,MAD_CI_upper,MAD_CI_lower,MAPE,MAPE_bin,MAPE_SD,MAPE_CI_upper,MAPE_CI_lower,RMSE,equivalencetesting,accuracypct,accuracypct_CI_upper,accuracypct_CI_lower,TEEstandardized,TEEstandardized_CI_upper,TEEstandardized_CI_lower,deviceSE,deviceCofV,critCofV,n_5pctofcrit,n_10pctofcrit,n_15pctofcrit,n_20pctofcrit,n_25pctofcrit,systematicbias_slope,systematicbias_intercept,systematicbias_probability,systematicbias_significance,Other
1,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"sedentary, seated baseline assessment, 10 min, HR assessed 3.5 minutes into each activity stage",yes,unknown,62,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohen's d,0.04,NA,NA,NA,NA,NA,72.84,12.08,72.32,12.21,over,NA,NA,NA,NA,0.007190265,± 3%,NA,0.78,ns,NA,NA,NA,NA,0.0276,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"sedentary, seated baseline assessment, 10 min, HR assessed 3.5 minutes into each activity stage",yes,unknown,62,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohen's d,0.01,NA,NA,NA,NA,NA,73.07,11.45,72.99,11.3,over,NA,NA,NA,NA,0.001096041,± 3%,NA,0.76,ns,NA,NA,NA,NA,0.0163,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Dooley,2017,-,Controlled,HR,bpm,Apple,Watch,Apple Watch,2015,Wrist,"wrist, random",full-text,y,Heart rate sensor chest strap (Polar T31),chest strap,chest,Torso,62,26,36,healthy adults,A,H,22.55,4.34,72.02,18.99,170,11,24.6,4.77,"TX, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, seated recovery period, 10 min, HR assessed 3.5 minutes into each activity stage",no,unknown,62,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohen's d,-0.03,NA,NA,NA,NA,NA,84.02,15.27,84.47,15.16,under,NA,NA,NA,NA,-0.005327335,± 3%,NA,< .001,sig,NA,NA,NA,NA,0.0114,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, 5 min, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.99,VS,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,equal,0.04,1.71,-3.31,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0121,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, 5 min, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.82,VS,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,equal,0.02,1.71,-3.33,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Boudreaux,2018,-,Controlled,HR,bpm,Apple,Watch Series 2,Apple Watch Series 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 50W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.9,VS,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,over,1.28,8.55,-15.46,18.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299,less 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.33,N,NA,"walk, 4.8 km/h, 10 min, Session 2",NA,unknown,31,good validity,ICC,0.52,MOD,0.52,95,0.74,0.21,< .01,sig,NA,NA,NA,NA,159,-101,260,NA,NA,1108,46,over,29,12,NA,NA,0.026173285,± 3%,NA,NA,NA,NA,NA,NA,NA,0.026,less 3%,NA,NA,NA,NA,"-2.20
Wilcoxon signed-rank test in case of a non-normal distribution
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Sl,0.89,N,NA,"walk, 3.2 km/h, 10 min, Session 1",NA,unknown,31,good validity,ICC,0.57,MOD,0.57,95,0.77,0.27,< .01,sig,NA,NA,NA,NA,111,-74,185,NA,NA,953,46,over,18,9,NA,NA,0.018887723,± 3%,NA,NA,NA,NA,NA,NA,NA,0.019,less 3%,NA,NA,NA,NA,"2.14
paired samples t-test
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Sl,0.89,N,NA,"walk, 3.2 km/h, 10 min, Session 2",NA,unknown,31,good validity,ICC,0.73,ST,0.73,95,0.86,0.52,< .01,sig,NA,NA,NA,NA,124,-98,222,NA,NA,940,61,over,13,10,NA,NA,0.013829787,± 3%,NA,NA,NA,NA,NA,NA,NA,0.014,less 3%,NA,NA,NA,NA,"-0.83
Wilcoxon signed-rank test in case of a non-normal distribution
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Fokkema,2017,-,Controlled,SC,steps/10 min,Apple,Watch,Apple Watch,2015,Wrist,"wrist, left",full-text,y,Manual count,manual count,NA,NA,31,16,15,healthy adults,A,H,32,12,NA,NA,NA,NA,22.6,2.4,Netherlands,Walk: Treadmill,NA,At,Nr,Nm,1.78,N,NA,"walk, 6.4 km/h, 10 min, Session 1",NA,unknown,31,good validity,ICC,0.91,VS,0.91,95,0.95,0.82,< .01,sig,NA,NA,NA,NA,56,-45,101,NA,NA,1259,53,over,6,5,NA,NA,0.004765687,± 3%,NA,NA,NA,NA,NA,NA,NA,0.005,less 3%,NA,NA,NA,NA,"1.24
paired samples t-test
not sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
